id,name,town,district,region,latitude,longitude,phone,website,specialty,created_at,updated_at,photo,category
42,Amansan Clinic,Aboagye Krom,Obuasi Municipal,Ashanti,6.19128,-1.65044,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
43,Amantenaman Health Centre,Nyinamponase,Asante-Akim North Municipal,Ashanti,6.77005,-1.16254,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
44,Amponsah Konadu Memorial Maternity Home,Bonwire,Ejisu-Juaben Municipal,Ashanti,6.79262,-1.47187,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
45,Ampunyasi Health Centre,Ampunyasi,Adansi South,Ashanti,6.05519,-1.73677,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
46,Anane Aya Maternity Home,Akwasiase,Ahafo-Ano North,Ashanti,6.99542,-2.19993,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
47,Ananekrom Health Centre,Ananekrom,Asante-Akim North Municipal,Ashanti,6.91527,-1.01533,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
48,Anglican (Mobile) Eye Clinic,Jachie,Bosomtwe,Ashanti,6.56615,-1.52066,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
49,Atonso/Agogo Fejiase clinic,Feyiase,Bosomtwe,Ashanti,6.61268,-1.55999,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
50,Brodekwanu Methodis Clinic,Brodekwanu,Bosomtwe,Ashanti,6.53546,-1.35365,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
51,CAMFAP Maternity Clinic,New Kokobiriko (Abijan-Nkwant,Bosomtwe,Ashanti,6.57933,-1.54404,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
52,Jachie Health Centre,Jachie,Bosomtwe,Ashanti,6.56598,-1.52097,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
53,Kuntenase Government Hospital,Kuntenase,Bosomtwe,Ashanti,6.53752,-1.47454,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,District Hospital
54,Lake Bosomtwi Methodist Clinic,Amakom,Bosomtwe,Ashanti,6.48398,-1.37362,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
55,Nyameani Methodist Clinic,Nyameani,Bosomtwe,Ashanti,6.56458,-1.43022,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
56,Piase CHPS,Piase,Bosomtwe,Ashanti,6.59099,-1.45151,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,CHPS
57,SDA Clinic Konkoma,Konkoma,Bosomtwe,Ashanti,6.51291,-1.34849,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
58,Sophia Maternity Home,Esereso,Bosomtwe,Ashanti,6.63159,-1.56147,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
59,St. Marys Anglican Clinic,Apinkra,Bosomtwe,Ashanti,6.54056,-1.54346,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
60,St. Micheal Hospital,Pramso,Bosomtwe,Ashanti,6.55872,-1.51247,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
61,Tetrefu Health Centre,Tetrefu,Bosomtwe,Ashanti,6.62487,-1.53468,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
62,God's Grace Maternity Home,Aputuagya,Bosomtwe,Ashanti,6.5016785,-1.4144827,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
63,Anyinam Clinic,Obuasi-Anyinam,Obuasi Municipal,Ashanti,6.19897,-1.68205,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
64,Anyinasuso Health Centre,Anyinasuso,Ahafo-Ano North,Ashanti,6.95913,-2.10037,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
65,Anyinasuso Maternity Home,Anyinasuso,Ahafo-Ano North,Ashanti,6.95871,-2.10015,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
66,Anyinasusu SDA Centre,Anyinasusu,Offinso North,Ashanti,7.01484,-1.70874,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
67,Anyinofi Health Centre,Anyinofi,Sekyere Afram Plains,Ashanti,7.42528,-0.77045,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
68,Apaa Maternity Home,Apaa,Mampong Municipal,Ashanti,6.95511,-1.43465,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
69,Apromase Health Centre,Apromase,Ejisu-Juaben Municipal,Ashanti,6.67085,-1.49543,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
70,Asaam Health Clinic,Asaam,Mampong Municipal,Ashanti,7.11732,-1.46598,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
71,Asempa   Maternity and Clinic,Gausu,Obuasi Municipal,Ashanti,6.19924,-1.68233,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
72,Ahenema kokoben Health Centre,Ahenema kokoben,Atwima-Kwanwoma,Ashanti,6.62597,-1.64978,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
73,Bebu Methodist Clinic,Bebu,Atwima-Kwanwoma,Ashanti,6.61154,-1.68505,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
74,Eye Adom Maternity Home,Brofoyeduru,Atwima-Kwanwoma,Ashanti,6.61458,-1.65857,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
75,Foase Health Centre,Foase,Atwima-Kwanwoma,Ashanti,6.63751,-1.75124,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
76,Kwanwoma Health Centre,Kwanwoma,Atwima-Kwanwoma,Ashanti,6.62865,-1.63524,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
77,Trabuom Health Centre,Trabuom,Atwima-Kwanwoma,Ashanti,6.61142,-1.76252,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
78,Trede Health Centre,Trede,Atwima-Kwanwoma,Ashanti,6.57803,-1.66859,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
79,Nweneso III Health Centre,Nweneso III,Atwima-Kwanwoma,Ashanti,6.5972124,-1.578999399,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
80,Asiwa Health Centre,Asiwa,Bosome Freho,Ashanti,6.42344,-1.33434,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
81,Asokwa Health Centre,Asokwa,Adansi North,Ashanti,6.28068,-1.50786,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
82,Essuowin Health Centre,Assuowin,Amansie West,Ashanti,6.53656,-1.86502,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
83,Asubuasu Health Centre,Asubuasu,Sekyere Central,Ashanti,7.31624,-1.23529,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
84,Asuofua Health Centre,Asuofia,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
85,Ataasi Health Centre,Ataasi Nkwanta,Adansi South,Ashanti,5.96664,-1.36454,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
86,Atonsu Health Centre,Atonsu,Sekyere Central,Ashanti,7.02372,-1.30912,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
87,Atwereboana Clinic,Atwereboana,Adansi South,Ashanti,5.96235,-1.34213,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
88,Atwima Clinic,Atwima,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
89,Avril Clinic,Akaporiso,Obuasi Municipal,Ashanti,6.19802,-1.62953,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
90,Babaso MCH,Babaso,Ejura Sekyeredumasi,Ashanti,7.34065,-1.32417,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
91,Banka Health Centre,Banka,Asante-Akim South,Ashanti,6.29824,-1.21615,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
92,Banko Health Centre,Banko,Sekyere Afram Plains,Ashanti,6.75822,-1.28473,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
93,Banso SDA Clinic,Banso,Asante-Akim South,Ashanti,6.47584,-1.19674,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
94,Barekese Health Centre,Barekese,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
95,Barniekrom maternity home,Barniekrom,Atwima-Mponua,Ashanti,6.54199,-2.17473,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
96,Bebome Health Centre,Bebome,Asante-Akim North Municipal,Ashanti,6.86725,-1.09566,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
97,Bebu Methodist Clinic,Bebu,Atwima-Kwanwoma,Ashanti,6.61154,-1.68505,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
98,Bekwai Government Hospital,Bekwai,Bekwai Municipal,Ashanti,6.45605,-1.57857,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,District Hospital
99,Benim Health Centre,Benim,Mampong Municipal,Ashanti,7.09054,-1.46459,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
100,Beposo Health Centre,Beposo,Sekyere Central,Ashanti,6.98526,-1.35503,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Centre
101,Bethel Maternity Home,Enyinamoso,Atwima-Mponua,Ashanti,6.64692,-1.90327,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
102,Betiako Health Centre,Betiako,Ahafo-Ano North,Ashanti,6.86638,-2.20685,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
103,Beyerebon No.5 Health Centre,Bayerebon,Atwima-Mponua,Ashanti,6.39211,-2.18134,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
104,Birem Health Centre,Birem,Mampong Municipal,Ashanti,7.22732,-0.99197,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
105,Boamang Health Centre,Boamang,Afigya-Kwabre,Ashanti,6.94073,-1.61705,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
106,Boanim Health Centre,Boanim,Sekyere South,Ashanti,7.03482,-1.48741,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
107,Bodwesango St Louis Health Centre,Bodwesango,Adansi North,Ashanti,6.22249,-1.31031,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
108,Bomfa Health Centre,Bomfa,Ejisu-Juaben Municipal,Ashanti,6.59635,-1.29933,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
109,Bompata Health Centre,Bompata,Asante-Akim South,Ashanti,6.66727,-1.08393,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
110,Bonsua Health Centre,Bonsua,Offinso Municipal,Ashanti,6.93485,-1.67615,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
111,Bonwire Clinic,Bonwire,Ejisu-Juaben Municipal,Ashanti,6.4716,-1.2846,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
112,Brahabebome Clinic,Brahabebome New Site,Obuasi Municipal,Ashanti,6.19444,-1.63014,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
113,Bryant  Mission Hospital,Boete,Obuasi Municipal,Ashanti,6.1131,-1.3844,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
114,Cecilia Maternity  Home,Kwabrafoso,Obuasi Municipal,Ashanti,6.19886,-1.65574,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
115,Central Market Clinic,Estate Extension,Obuasi Municipal,Ashanti,6.20591,-1.67031,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
116,Christ Our Hope Maternity Home,Ntonso,Kwabre,Ashanti,6.75486,-1.52744,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
117,Christ Our Saviour Clinic,Manso Moseaso,Amansie West,Ashanti,6.51142,-1.85217,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
118,Church of Christ Mission Clinic,Adadientam,Ejisu-Juaben Municipal,Ashanti,6.71394,-1.42827,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
119,Church of God Clinic,Essienimpong,Ejisu-Juaben Municipal,Ashanti,6.66053,-1.44979,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
120,Community Health Centre,Mpasatia,Atwima-Mponua,Ashanti,6.66848,-1.84016,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
121,Cross Medical Centre,Nsuta,Sekyere Central,Ashanti,7.00829,-1.37595,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
122,Daasebre Maternity Home,Ahenebronuum,Asante-Akim North Municipal,Ashanti,6.62776,-1.21314,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
123,Dadiase Health Centre,Dadiase,Sekyere Afram Plains,Ashanti,6.88078,-1.36776,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
124,Dakopon Hospital,Kwamo,Ejisu-Juaben Municipal,Ashanti,6.72086,-1.49322,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
125,Datano Health Post,Datano,Amansie West,Ashanti,6.29398,-1.97098,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
126,Detieso Community Clinic,Detieso,Bosome Freho,Ashanti,6.47674,-1.44168,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
127,Domeabra Health Centre,Domeabra,Sekyere South,Ashanti,6.93864,-1.55757,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
128,Dompoase Benito Menni Health Centre,Dompoase,Adansi North,Ashanti,6.32282,-1.54468,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
129,Dora Maternity Clinic,Pakyi  No 2,Amansie West,Ashanti,6.4804,-1.4951,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
130,Dorcas Memorial Clinic,Akomadan,Offinso North,Ashanti,7.39694,-1.95297,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
131,Duasi Community Clinic,Duasi,Bosome Freho,Ashanti,6.46863,-1.39522,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
132,Dwease Health Centre,Dwease,Asante-Akim North Municipal,Ashanti,6.53747,-1.24407,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
133,Dwendwenase Health Centre,Dwendwenase,Asante-Akim South,Ashanti,6.41223,-1.19934,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
134,Ebenezer Methodist Clinic,Mpasatia,Atwima-Mponua,Ashanti,6.65865,-1.84306,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
135,Edwafo Health Centre,Edwafo,Adansi South,Ashanti,6.19675,-1.57367,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
136,Effiduase District Hospital,Effiduase,Sekyere East,Ashanti,6.84739,-1.39373,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,District Hospital
137,Effiduase Trust Maternity Home,Effiduase,Sekyere East,Ashanti,6.84821,-1.39412,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
138,Ejisu Health Centre,Ejisu,Ejisu-Juaben Municipal,Ashanti,6.72103,-1.47028,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
139,Ejura District Hospital,Ejura,Ejura Sekyeredumasi,Ashanti,7.38906,-1.35197,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,District Hospital
140,Ejura MCH,Ejura,Ejura Sekyeredumasi,Ashanti,7.36556,-1.34358,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
141,Ejuratia Health Centre,Ejuratia,Afigya-Kwabre,Ashanti,6.82287,-1.52227,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
142,Emmanuel  Maternity  Home,Boete,Obuasi Municipal,Ashanti,6.19235,-1.64475,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
143,Enso Nyameye Maternity Home,Kontokori Line,Ejura Sekyeredumasi,Ashanti,7.37894,-1.35796,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
144,Essienkyem Health Centre,Essienkyem,Ahafo-Ano South,Ashanti,6.97584,-1.84784,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
145,Everest Hospital,Achiase,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
146,Eye Adom Maternity Home,Brofoyeduru,Atwima-Kwanwoma,Ashanti,6.61458,-1.65857,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
147,Family Care Hospital,Mowre,Afigya-Kwabre,Ashanti,6.81614,-1.47675,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
148,Fawade Nkanta Clinic,Fawade,Kwabre,Ashanti,6.81047,-1.63866,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
149,Foase Health Centre,Foase,Atwima-Kwanwoma,Ashanti,6.63751,-1.75124,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
150,Fomena Health Centre,Fomena,Adansi North,Ashanti,6.28022,-1.51002,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
151,Fumso Health Centre,Fumso,Adansi North,Ashanti,6.11048,-1.44854,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
152,Fumso-Ketewa Health Centre,Fumso Ketewa,Adansi North,Ashanti,6.29675,-1.63103,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
153,Gladys Maternity Home,Kodie,Afigya-Kwabre,Ashanti,6.78875,-1.56109,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
154,Global Evangelical Mission Hospital,Apromase,Ejisu-Juaben Municipal,Ashanti,6.66903,-1.49298,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
